NFLID,Height,Weight,DOB,College
00-0027268,Seth Williams,185,10/24/1986,Richmond
00-0027269,Garrett Brown,300,9/20/1988,Minnesota
00-0000585,Champ Bailey,192,6/22/1978,Georgia
00-0027263,Nate Collins,296,12/14/1987,Virginia
00-0027260,Tim Brown,165,11/9/1987,Rutgers
00-0027261,Duke Calhoun,200,9/1/1987,Memphis
00-0027266,Michael Greco,217,2/26/1987,Central Florida
00-0027267,Ayanga Okpokowuruk,253,6/19/1987,Duke
00-0027264,Jim Cordle,320,8/22/1987,Ohio State
00-0027265,Victor Cruz,202,11/11/1986,Massachusetts
00-0024408,Bruce Gradkowski,217,1/27/1983,Toledo
00-0024406,Marcus Hudson,200,11/15/1982,North Carolina State
00-0024405,Jeremy Mincey,280,12/14/1983,Florida
00-0024404,Jeff Webb,211,1/31/1982,San Diego State
00-0024403,Drew Coleman,180,4/22/1983,Texas Christian
00-0024401,Jeromey Clary,320,11/5/1983,Kansas State
00-0024400,Tre' Stallings,305,1/8/1983,Mississippi
00-0001980,Kris Brown,215,12/23/1976,Nebraska
00-0030318,Kwame Geathers,335,10/4/1990,Georgia
00-0030316,Ben Cotton,256,6/13/1989,Nebraska
00-0030317,Marcus Cromartie,195,12/3/1990,Wisconsin
00-0030314,Frank Beltre,246,1/28/1990,Towson
00-0030315,Greg Brown,188,1/21/1990,Kansas
00-0030312,Jahleel Addae,195,1/24/1990,Central Michigan
00-0030313,Nick Becton,322,2/11/1990,Virginia Tech
00-0030311,Junior Mertile,197,10/26/1989,Florida International
00-0022724,Sean McHugh,265,5/27/1982,Penn State
00-0022725,Michael Clayton,202,10/13/1982,LSU
00-0022726,Keary Colbert,205,5/21/1982,USC
00-0030954,Davon Coleman,295,1/11/1991,Arizona State
00-0022722,Junior Siavii,315,11/14/1978,Oregon
00-0022723,Shaun Phillips,255,5/13/1981,Purdue
00-0033560,Julie'n Davenport,315,1/9/1995,Bucknell
00-0033561,DJ Pumphrey,176,12/6/1994,San Diego State
00-0033562,Ryan Switzer,185,11/4/1994,North Carolina
00-0033563,Carlos Watkins,305,12/5/1993,Clemson
00-0022728,Kirk Chambers,315,3/19/1979,Stanford
00-0033566,Desmond King,200,12/14/1994,Iowa
00-0033567,Brian Hill,219,11/9/1995,Wyoming
00-0023288,Evan Oglesby,182,12/18/1981,North Alabama
00-0030956,Andre Cureton,332,7/26/1991,Cincinnati
00-0020278,Matt Stewart,239,8/31/1979,Vanderbilt
00-0020270,Correll Buckhalter,223,10/6/1978,Nebraska
00-0023287,Jim Leonhard,188,10/27/1982,Wisconsin
00-0004851,Greg Ellis,265,8/14/1975,North Carolina
00-0031409,Johnny Manziel,210,12/6/1992,Texas A&M
00-0031408,Mike Evans,231,8/21/1993,Texas A&M
00-0031401,Jeremy Johnson,179,11/8/1991,Southern Methodist
00-0031400,Bryce Quigley,302,6/26/1992,San Diego State
00-0031403,Jay Bromley,314,5/28/1992,Syracuse
00-0031402,Zack Martin,315,11/20/1990,Notre Dame
00-0031405,Demitrius Bronson,210,3/6/1990,Eastern Washington
00-0031404,Adrian Phillips,210,3/28/1992,Texas
00-0031407,Blake Bortles,236,4/28/1992,Central Florida
00-0032218,Dorial Green-Beckham,237,4/12/1993,Oklahoma
00-0032211,Tyler Lockett,182,9/28/1992,Kansas State
00-0032210,Frank Clark,260,6/14/1993,Michigan
00-0032212,Dexter McDonald,200,11/30/1991,Kansas
00-0032215,Damien Wilson,245,5/28/1993,Minnesota
00-0032214,Tyler Kroft,260,10/15/1992,Rutgers
00-0032217,Donovan Smith,338,6/23/1993,Penn State
00-0027447,Rico McCoy,224,11/6/1987,Tennessee
00-0032817,Mitch Mathews,213,4/15/1991,Brigham Young
00-0032815,Chris Hubert,170,5/8/1993,Fayetteville State
00-0032814,Vernon Harris,197,6/25/1994,Dartmouth
00-0032813,Elijhaa Penny,234,8/17/1993,Idaho
00-0032810,Kalan Reed,192,12/29/1993,Southern Mississippi
